"","plotID","ID","typeSample","typeCode","timeSample","DiseaseStatus","manager.x","variety.x","DNA_Location","DNA_Plate","DNA_Row","DNA_Col","site","manager.y","managerPlotName","FHBresistance","block","variety.y","lat","long","harvestWeight.lbs","moistPerc","testWeight.lbsPerBu","yield.lbsPerAcre","harvestLength","FHBSeverity","FgTa.Mean","FgTa.SD","FgTa.CV","DON.Mean.R1","DON.CV.R1","DON.Mean.R2","DON.CV.R2"
"H05-T5-LO","05","H05-T5-LO","head","H","T5","Lo","Allen","495","P1-C3","P1","C","3","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"L05-T3","05","L05-T3","leaf","L","T3","","Allen","495","P1-D2","P1","D","2","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"H05-T5-HI","05","H05-T5-HI","head","H","T5","Hi","Allen","495","P2-B1","P2","B","1","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"L06-T3","06","L06-T3","leaf","L","T3","","Allen","505","P3-G3","P3","G","3","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"D06-T2","06","D06-T2","debris","D","T2","","Allen","505","P3-E4","P3","E","4","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"L06-T4","06","L06-T4","leaf","L","T4","","Allen","505","P1-A9","P1","A","9","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"D06-T1","06","D06-T1","debris","D","T1","","Allen","505","P1-A8","P1","A","8","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"L06-T1","06","L06-T1","leaf","L","T1","","Allen","505","P3-D2","P3","D","2","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"H06-T3","06","H06-T3","head","H","T3","","Allen","505","P2-F2","P2","F","2","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
"H06-T5-LO","06","H06-T5-LO","head","H","T5","Lo","Allen","505","P2-E4","P2","E","4","Urbana","Allen",NA,"9","2","AgriMaxx-505",40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197
