,plotID,ID,timeDisSite,typeSample,typeCode,timeSample,DiseaseStatus,variety.x,site,block,lat,long,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,FgTa.Mean,DON.Mean.R1,fungiDepth,Sdiv
101,14,H14-T3,T3_Ewing,head,H,T3,,495,Ewing,1,38.096467,-88.845633,13,58.1,76.37687861,0.365,1.576142686,33243,192
102,14,H14-T4,T4_Ewing,head,H,T4,,495,Ewing,1,38.096467,-88.845633,13,58.1,76.37687861,0.365,1.576142686,51348,173
103,14,H14-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,495,Ewing,1,38.096467,-88.845633,13,58.1,76.37687861,0.365,1.576142686,75651,105
104,14,H14-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,495,Ewing,1,38.096467,-88.845633,13,58.1,76.37687861,0.365,1.576142686,45217,112
105,15,H15-T3,T3_Ewing,head,H,T3,,505,Ewing,1,38.096467,-88.845567,13.5,55.5,74.26896552,0.333,1.01803183,15505,120
106,15,H15-T4,T4_Ewing,head,H,T4,,505,Ewing,1,38.096467,-88.845567,13.5,55.5,74.26896552,0.333,1.01803183,8667,82
107,15,H15-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,505,Ewing,1,38.096467,-88.845567,13.5,55.5,74.26896552,0.333,1.01803183,76845,96
108,15,H15-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,505,Ewing,1,38.096467,-88.845567,13.5,55.5,74.26896552,0.333,1.01803183,74524,131
109,16,H16-T3,T3_Ewing,head,H,T3,,495,Ewing,2,38.096467,-88.8455,13.3,55.1,67.74938808,0.23,1.286261614,14681,128
110,16,H16-T4,T4_Ewing,head,H,T4,,495,Ewing,2,38.096467,-88.8455,13.3,55.1,67.74938808,0.23,1.286261614,23035,110
111,16,H16-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,495,Ewing,2,38.096467,-88.8455,13.3,55.1,67.74938808,0.23,1.286261614,16339,43
112,16,H16-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,495,Ewing,2,38.096467,-88.8455,13.3,55.1,67.74938808,0.23,1.286261614,34292,90
113,17,H17-T3,T3_Ewing,head,H,T3,,492,Ewing,2,38.096467,-88.845417,13.4,54.6,70.1775882,0.696,4.50379559,12973,107
114,17,H17-T4,T4_Ewing,head,H,T4,,492,Ewing,2,38.096467,-88.845417,13.4,54.6,70.1775882,0.696,4.50379559,17713,92
115,17,H17-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,492,Ewing,2,38.096467,-88.845417,13.4,54.6,70.1775882,0.696,4.50379559,134211,175
116,17,H17-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,492,Ewing,2,38.096467,-88.845417,13.4,54.6,70.1775882,0.696,4.50379559,18756,79
117,18,H18-T3,T3_Ewing,head,H,T3,,505,Ewing,2,38.096467,-88.84535,14.8,52.6,74.79666733,0.077,0.213030026,32733,116
118,18,H18-T4,T4_Ewing,head,H,T4,,505,Ewing,2,38.096467,-88.84535,14.8,52.6,74.79666733,0.077,0.213030026,13519,97
