"","Feature.ID","Confidence","domain","phylum","class","order","family","genus","species","SH"
"1737","ASV2776",0.999916663762726,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Sistotrema_porulosum","SH1222326.10FU"
"1738","ASV2777",0.999999999941415,"Fungi","Ascomycota",NA,NA,NA,NA,NA,NA
"1739","ASV2778",0.997205360779226,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae",NA,NA,NA
"1740","ASV278",0.999223689534323,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,NA
"1741","ASV2785",0.803774279457744,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","SH1303804.10FU"
"1742","ASV2786",0.995212871096924,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"1743","ASV2787",0.781124115783524,"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Apiosporaceae","Apiospora","Apiospora_jiangxiensis","SH1059781.10FU"
"1744","ASV2788",0.989695825819354,"Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp","SH1287344.10FU"
"1745","ASV2789",0.999999999999957,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Hyphopichia","Hyphopichia_homilentoma","SH1187539.10FU"
"1746","ASV279",0.999655275054571,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA,NA
"1747","ASV2790",0.986711965629541,"Fungi","Ascomycota",NA,NA,NA,NA,NA,NA
"1748","ASV2791",0.99962058817451,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","Microdochium_seminicola","SH1360591.10FU"
"1749","ASV2792",0.801557955827311,"Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,NA
"1750","ASV2793",0.81158618916878,"Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,NA
"1751","ASV2794",0.896382084414978,"Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp","SH1344485.10FU"
"1752","ASV2795",0.915071871004385,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum",NA,NA
"1753","ASV2796",0.999990522643121,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetales_fam_Incertae_sedis","Spizellomycetales_gen_Incertae_sedis","Spizellomycetales_sp","SH1184754.10FU"
"1754","ASV2799",0.983141876692812,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neomassarinaceae","Neomassarina","Neomassarina_chromolaenae","SH1941252.10FU"
"1755","ASV28",0.987480079248211,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremaceae","Papiliotrema","Papiliotrema_flavescens","SH1402559.10FU"
"1756","ASV280",0.87940271417974,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_chernovii","SH1207620.10FU"
"1757","ASV2801",0.949719719418398,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomiaceae_gen_Incertae_sedis","Chaetomiaceae_sp",NA
"1758","ASV2802",0.770561840514127,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma_scrophulariicola","SH1774597.10FU"
"1759","ASV2803",0.999998829021312,"Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp","SH1287344.10FU"
"1760","ASV2805",0.999688914969057,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_sp","SH1339118.10FU"
"1761","ASV2806",0.982537754407412,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pyrenochaetopsidaceae","Xenopyrenochaetopsis","Xenopyrenochaetopsis_pratorum","SH1372111.10FU"
"1762","ASV2807",0.975077633001454,"Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,NA
"1763","ASV2808",0.988585392351481,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"1764","ASV2809",0.877063842049628,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp","SH1409007.10FU"
"1765","ASV281",0.999889302379853,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cylindriaceae","Cylindrium","Cylindrium_desperesense","SH1161297.10FU"
"1766","ASV2810",0.715857544772506,"Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces_sp","SH1058106.10FU"
"1767","ASV2811",0.993002227003898,"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Morinia","Morinia_trachycarpi","SH1272705.10FU"
"1768","ASV2812",0.924538706903731,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Dissoconiaceae","Paradissoconium","Paradissoconium_narthecii","SH1294129.10FU"
"1769","ASV2813",0.988570630483448,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"1770","ASV2814",0.946464314098553,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae",NA,NA,NA
"1771","ASV2815",0.834249145778118,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Bulleribasidium","Bulleribasidium_variabile","SH1394624.10FU"
"1772","ASV2816",0.974281306671304,"Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,NA
"1773","ASV2817",0.999958541491038,"Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis","Ascomycota_sp","SH1306007.10FU"
"1774","ASV2818",0.9271219644807,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Rhexocercosporidium","Rhexocercosporidium_panacis","SH1396974.10FU"
"1775","ASV2819",0.999773681789465,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporiaceae_gen_Incertae_sedis","Dictyosporiaceae_sp","SH1331428.10FU"
"1776","ASV282",0.803158984423316,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","Neoascochyta_tardicrescens","SH1213171.10FU"
"1777","ASV2820",0.915756989877309,"Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp","SH1337805.10FU"
"1778","ASV2821",0.99992838322656,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_sp","SH1222618.10FU"
"1779","ASV2822",0.999777616848125,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremaceae","Papiliotrema","Papiliotrema_zeae","SH1402461.10FU"
"1780","ASV2823",0.990763239523067,"Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp","SH1187319.10FU"
"1781","ASV2824",0.999899664022815,"Fungi","Basidiomycota","Ustilaginomycetes","Urocystidales","Urocystidaceae","Urocystis","Urocystis_agropyri","SH1359773.10FU"
